Number;DT1;DT2;DT3;DT4;DT5;DT6;DT7;DT8;Time
274;28.4166;28.2483;-256.751;-256.262;-256.692;-256.895;-256.942;-255.996;10:12:57
275;28.4244;28.2483;-256.751;-256.269;-256.7;-256.895;-256.95;-255.996;10:12:58
276;28.4244;28.2483;-256.751;-256.262;-256.7;-256.888;-256.942;-256.003;10:12:58
277;28.4244;28.2522;-256.755;-256.269;-256.692;-256.895;-256.95;-255.988;10:12:59
278;28.4244;28.2483;-256.751;-256.269;-256.7;-256.888;-256.942;-256.003;10:12:59
279;28.4244;28.2483;-256.751;-256.262;-256.692;-256.895;-256.942;-255.996;10:13:00
280;28.4166;28.2483;-256.755;-256.269;-256.692;-256.888;-256.942;-255.988;10:13:00
281;28.4244;28.2483;-256.755;-256.262;-256.7;-256.895;-256.942;-255.988;10:13:01
282;28.4244;28.2522;-256.755;-256.254;-256.692;-256.888;-256.942;-255.988;10:13:01
283;28.4244;28.2522;-256.751;-256.262;-256.692;-256.895;-256.942;-256.003;10:13:02
284;28.4244;28.2522;-256.755;-256.262;-256.692;-256.888;-256.942;-255.996;10:13:02
285;28.4322;28.2522;-256.751;-256.262;-256.7;-256.895;-256.942;-255.988;10:13:03
286;28.4322;28.2561;-256.755;-256.254;-256.692;-256.895;-256.935;-255.996;10:13:03
287;28.4322;28.2522;-256.751;-256.262;-256.684;-256.895;-256.935;-255.996;10:13:04
288;28.4322;28.2561;-256.755;-256.262;-256.692;-256.895;-256.935;-255.996;10:13:04
289;28.4244;28.2522;-256.755;-256.262;-256.692;-256.888;-256.942;-255.988;10:13:05
